"","data_date","ID","Payment","Payment.Date"
"2896","2013-01-28",6,10,"2013-01-22"
"2898","2013-01-28",8,30,"2012-12-11"
"2903","2013-01-28",18,40,"2012-11-29"
"2904","2013-01-28",19,80,"2012-11-29"
"2908","2013-01-28",28,20,"2012-11-29"
"2913","2013-01-28",38,4,"2013-01-21"
"2918","2013-01-28",46,10,"2013-01-16"
"2922","2013-01-28",50,20,"2012-12-13"
"2924","2013-01-28",54,20,"2013-01-08"
"2925","2013-01-28",55,100,"2012-12-11"
"2932","2013-01-28",63,20,"2012-12-04"
"2936","2013-01-28",70,20,""
"2948","2013-01-28",85,20,"2013-01-11"
"2949","2013-01-28",86,20,"2013-01-09"
"2952","2013-01-28",89,75,"2012-11-29"
"2972","2013-01-28",122,10,"2013-01-04"
"2974","2013-01-28",125,67.12,"2013-01-09"
"2980","2013-01-28",133,50,"2012-12-11"
"2990","2013-01-28",147,50,""
"2997","2013-01-28",157,20,"2013-01-04"
"3006","2013-01-28",171,50.8,"2012-12-03"
"3007","2013-01-28",172,40,"2013-01-16"
"3008","2013-01-28",174,25,"2013-01-04"
